,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Average Score,0.58975,0.65625,0.39625,0.4357499999999999,0.23725000000000002,0.43,0.3485,0.349,0.39175,0.5856250000000001,0.45675,0.36825,0.626125,0.6093750000000001,0.703875,0.59225,0.62275,0.6943750000000001,0.722875,0.6340000000000001
Standard Deviation,0.2639800381209075,0.2976569687620828,0.2503254460644551,0.3516101122729999,0.315275464349912,0.3209320308430628,0.2538809294054783,0.2711796840706021,0.2909117925637109,0.23301778083273067,0.3072213114523898,0.3161831373046157,0.1491080388069071,0.2818476107010573,0.2509121189726961,0.1968065775002665,0.20489069614899796,0.24230509666208228,0.2256529633495227,0.2405563726469382
Top3 Average Score,0.8416666666666668,0.9433333333333334,0.7733333333333333,0.9399999999999998,0.8700000000000001,0.8966666666666667,0.7116666666666668,0.7250000000000001,0.8083333333333332,0.8875000000000002,0.9266666666666667,0.8483333333333333,0.8241666666666667,0.8908333333333335,0.9200000000000002,0.9033333333333331,0.875,0.9200000000000002,0.9266666666666667,0.9316666666666666
meaning_accuracy_Score,0.585,0.6849999999999999,0.33999999999999997,0.395,0.185,0.43,0.43499999999999994,0.375,0.445,0.65,0.42000000000000004,0.40499999999999997,0.795,0.67,0.71,0.58,0.65,0.705,0.6900000000000001,0.595
completeness_Score,0.62,0.675,0.595,0.6799999999999999,0.265,0.475,0.4875,0.475,0.51,0.71,0.41,0.36,0.7274999999999999,0.7125,0.7875,0.745,0.735,0.7825,0.8275,0.77
expression_style_Score,0.74,0.77,0.58,0.645,0.465,0.6,0.28500000000000003,0.41,0.40499999999999997,0.665,0.845,0.5599999999999999,0.505,0.7325,0.82,0.7424999999999999,0.76,0.79,0.805,0.86
faithfulness_Score,0.79,0.775,0.625,0.6,0.265,0.585,0.5349999999999999,0.5599999999999999,0.5700000000000001,0.8150000000000001,0.65,0.585,0.9324999999999999,0.8,0.8825,0.8074999999999999,0.8550000000000001,0.825,0.8975,0.805
conciseness_Score,0.73,0.655,0.53,0.75,0.505,0.6799999999999999,0.325,0.4,0.375,0.5349999999999999,0.7849999999999999,0.58,0.43,0.675,0.67,0.6950000000000001,0.6950000000000001,0.7350000000000001,0.8,0.8
correctness_Score,0.5650000000000001,0.6849999999999999,0.29,0.35,0.2,0.42000000000000004,0.32999999999999996,0.26,0.38,0.49749999999999994,0.425,0.37,0.705,0.525,0.595,0.40499999999999997,0.45499999999999996,0.62,0.5850000000000001,0.40499999999999997
structural_alignment_Score,0.635,0.72,0.52,0.635,0.395,0.5349999999999999,0.215,0.34500000000000003,0.335,0.545,0.8150000000000001,0.495,0.39,0.665,0.75,0.6950000000000001,0.72,0.7725,0.82,0.825
reasoning_quality_Score,0.515,0.6,0.35500000000000004,0.33999999999999997,0.13,0.335,0.39,0.36,0.39499999999999996,0.605,0.27,0.22000000000000003,0.7175,0.55,0.6875,0.5775,0.605,0.6475,0.7150000000000001,0.61
