,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Average Score,0.44800000000000006,0.751125,0.758625,0.751,0.74475,0.77675,0.726875,0.75,0.7350000000000001,0.743,0.713,0.7537499999999999,0.6537499999999999,0.67475,0.73575
Standard Deviation,0.1988215280094185,0.0652246875685966,0.0747868682182556,0.056721851354241105,0.059215818476947,0.0555184890966869,0.1813960391693153,0.060784347015537296,0.076519691308151,0.0821647894878271,0.183147912613649,0.0791879011226495,0.23749168960529737,0.2415763745419698,0.0723346571954201
Top3 Average Score,0.6683333333333333,0.8508333333333334,0.8558333333333333,0.8333333333333334,0.8450000000000001,0.8616666666666667,0.8475000000000001,0.8466666666666667,0.8216666666666669,0.8516666666666668,0.8633333333333333,0.8466666666666667,0.8400000000000001,0.8233333333333333,0.8450000000000001
meaning_accuracy_Score,0.495,0.795,0.77,0.755,0.765,0.8200000000000001,0.8052631578947369,0.755,0.73,0.75,0.7842105263157895,0.75,0.7555555555555555,0.7666666666666667,0.745
completeness_Score,0.355,0.6799999999999999,0.6849999999999999,0.65,0.6799999999999999,0.725,0.7105263157894737,0.655,0.61,0.6599999999999999,0.6894736842105263,0.625,0.6055555555555556,0.6666666666666666,0.61
expression_style_Score,0.47000000000000003,0.775,0.825,0.805,0.8,0.78,0.7684210526315789,0.8150000000000001,0.765,0.76,0.7210526315789473,0.795,0.7111111111111111,0.7722222222222223,0.77
faithfulness_Score,0.575,0.835,0.805,0.8150000000000001,0.805,0.85,0.8552631578947368,0.82,0.8300000000000001,0.8150000000000001,0.8263157894736842,0.8425,0.8111111111111111,0.8166666666666667,0.85
conciseness_Score,0.45499999999999996,0.76,0.74,0.75,0.725,0.75,0.7368421052631579,0.745,0.8,0.665,0.6684210526315789,0.745,0.6777777777777777,0.7388888888888889,0.6799999999999999
correctness_Score,0.52,0.79,0.7975,0.785,0.8,0.8400000000000001,0.8394736842105263,0.7725,0.78,0.805,0.8210526315789474,0.8074999999999999,0.7833333333333333,0.7833333333333333,0.8
structural_alignment_Score,0.265,0.6449999999999999,0.755,0.745,0.7150000000000001,0.73,0.7315789473684211,0.735,0.705,0.77,0.7526315789473684,0.78,0.7166666666666667,0.7444444444444445,0.75
reasoning_quality_Score,0.425,0.7125,0.7175,0.73,0.6950000000000001,0.745,0.7052631578947368,0.6950000000000001,0.655,0.74,0.7210526315789473,0.6825,0.7166666666666667,0.7,0.6950000000000001
