,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Average Score,0.8096,0.8386250000000001,0.81425,0.7997500000000001,0.8477500000000001,0.7857500000000001,0.774,0.8575000000000002,0.811375,0.829125,0.8227500000000001,0.793,0.81975,0.7927500000000001,0.84375
Standard Deviation,0.0877828660898433,0.1562796813913743,0.1566972021380558,0.1005311551604513,0.155943436101549,0.1676640987212229,0.197569774483532,0.12039682195490911,0.1903294840533121,0.133469085223981,0.0927996568732313,0.1850917269043137,0.1509485360191207,0.1637671244561361,0.0962299192996702
Top3 Average Score,0.8773333333333333,0.9350000000000002,0.9316666666666666,0.8783333333333333,0.9433333333333334,0.9250000000000002,0.9275,0.9383333333333332,0.9416666666666668,0.9283333333333331,0.9233333333333332,0.9266666666666667,0.9233333333333332,0.9116666666666668,0.9283333333333331
meaning_accuracy_Score,0.885,0.865,0.8400000000000001,0.885,0.8400000000000001,0.845,0.8150000000000001,0.8625,0.8125,0.8675,0.865,0.8150000000000001,0.835,0.82,0.875
completeness_Score,0.8550000000000001,0.8375,0.8150000000000001,0.77,0.8324999999999999,0.8324999999999999,0.7975,0.8724999999999999,0.86,0.805,0.8425,0.8099999999999999,0.7925,0.7849999999999999,0.835
expression_style_Score,0.7,0.8375,0.7474999999999999,0.6799999999999999,0.805,0.7725,0.7474999999999999,0.7925,0.8225,0.745,0.73,0.795,0.735,0.725,0.7224999999999999
faithfulness_Score,0.9724999999999999,0.9349999999999999,0.9275,0.9650000000000001,0.9275,0.925,0.89,0.95,0.89,0.95,0.9400000000000001,0.9099999999999999,0.9550000000000001,0.9099999999999999,0.9724999999999999
conciseness_Score,0.6799999999999999,0.8300000000000001,0.755,0.8099999999999999,0.8375,0.755,0.79,0.8074999999999999,0.7825,0.7025,0.77,0.76,0.805,0.8,0.785
correctness_Score,0.8775000000000001,0.8675,0.885,0.85,0.875,0.775,0.77,0.9125,0.825,0.9099999999999999,0.8699999999999999,0.8099999999999999,0.85,0.8150000000000001,0.9175000000000001
structural_alignment_Score,0.58,0.845,0.6975,0.6,0.835,0.7775000000000001,0.7224999999999999,0.7975,0.8300000000000001,0.72,0.7325,0.8,0.7424999999999999,0.705,0.735
reasoning_quality_Score,0.8200000000000001,0.8025,0.8275,0.835,0.8300000000000001,0.755,0.7525000000000001,0.8425,0.78,0.8275,0.8275,0.76,0.8225,0.79,0.8324999999999999
