,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Average Score,0.766,0.7625,0.81425,0.76125,0.76375,0.70975,0.765,0.4626249999999999,0.7738750000000001,0.759375,0.77525,0.7586250000000001,0.8783749999999999,0.7605000000000001,0.7430000000000001
Standard Deviation,0.1680037593564344,0.1986632962153751,0.2214561558127667,0.2766142811322578,0.2524244285033902,0.2750333711809494,0.21574991614318056,0.3668495631368316,0.2257683882468467,0.2125036764387854,0.2368959076316675,0.23405812790168617,0.026198571174377898,0.2432247715050509,0.2151462171102297
Top3 Average Score,0.8933333333333333,0.9516666666666668,0.9683333333333334,0.9800000000000001,0.9433333333333334,0.9200000000000002,0.9083333333333332,0.9316666666666666,0.945,0.9066666666666668,0.945,0.9241666666666667,0.9275,0.9366666666666668,0.8916666666666668
meaning_accuracy_Score,0.8699999999999999,0.9,0.845,0.775,0.7849999999999999,0.735,0.79,0.40499999999999997,0.8,0.77,0.7849999999999999,0.7350000000000001,0.9099999999999999,0.755,0.765
completeness_Score,0.75,0.69,0.835,0.85,0.7150000000000001,0.675,0.6900000000000001,0.4625,0.7575000000000001,0.645,0.785,0.755,0.8225,0.775,0.725
expression_style_Score,0.8150000000000001,0.79,0.8800000000000001,0.845,0.9349999999999999,0.7675,0.8675,0.615,0.8225,0.825,0.8300000000000001,0.8675,0.825,0.8150000000000001,0.745
faithfulness_Score,0.915,0.875,0.8949999999999999,0.8724999999999999,0.845,0.7975,0.8175000000000001,0.4525,0.8675,0.845,0.8425,0.82,0.9349999999999999,0.8275,0.85
conciseness_Score,0.645,0.7150000000000001,0.845,0.8025,0.885,0.7474999999999999,0.915,0.5549999999999999,0.8074999999999999,0.8800000000000001,0.8,0.8825,0.805,0.835,0.79
correctness_Score,0.8800000000000001,0.89,0.85,0.7,0.75,0.745,0.75,0.42000000000000004,0.8,0.795,0.795,0.75,0.9925,0.745,0.76
structural_alignment_Score,0.67,0.765,0.825,0.8300000000000001,0.9,0.7025,0.9,0.63,0.775,0.8150000000000001,0.835,0.8724999999999999,0.7975000000000001,0.82,0.73
reasoning_quality_Score,0.6399999999999999,0.595,0.74,0.7125,0.6799999999999999,0.6475000000000001,0.6975,0.4225,0.7025,0.6825,0.7100000000000001,0.7025,0.8300000000000001,0.72,0.685
