,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Average Score,0.426175,0.7847500000000001,0.8172500000000001,0.791375,0.661,0.77975,0.6727500000000001,0.7685000000000001,0.849375,0.8355,0.8092500000000001,0.772625,0.8175000000000001,0.746375,0.7837500000000001,0.8045,0.8316250000000001,0.7791250000000001,0.804875,0.81225
Standard Deviation,0.2720690351150256,0.1076357771668686,0.1375511866447121,0.183259011051514,0.2685700437894231,0.2381589197419059,0.2825889473385234,0.1390602860557058,0.0746301186201868,0.1470825940541035,0.0968453052960996,0.0879349153755507,0.0847985228272533,0.1795635699631045,0.1477183931817921,0.1220968123209912,0.107523788677571,0.1308305327111133,0.090279081187172,0.0987217647841916
Top3 Average Score,0.8861666666666667,0.8966666666666668,0.9108333333333336,0.9616666666666666,0.9283333333333331,0.9366666666666668,0.8916666666666668,0.8983333333333334,0.9333333333333336,0.9558333333333333,0.9366666666666668,0.8883333333333333,0.93,0.9075,0.9350000000000002,0.9408333333333335,0.9175000000000001,0.9025000000000002,0.8983333333333334,0.9200000000000002
meaning_accuracy_Score,0.515,0.865,0.8699999999999999,0.8300000000000001,0.6849999999999999,0.845,0.735,0.86,0.93,0.89,0.865,0.8300000000000001,0.8949999999999999,0.7849999999999999,0.8550000000000001,0.865,0.9099999999999999,0.85,0.875,0.865
completeness_Score,0.375,0.7925,0.805,0.7725,0.6849999999999999,0.745,0.66,0.79,0.8525,0.7975,0.8175000000000001,0.7775000000000001,0.79,0.7350000000000001,0.8099999999999999,0.8125,0.8,0.7725000000000001,0.79,0.7775000000000001
expression_style_Score,0.52,0.755,0.8025,0.8175000000000001,0.8025,0.795,0.735,0.8324999999999999,0.8474999999999999,0.8575000000000002,0.8775000000000001,0.8625,0.865,0.8200000000000001,0.8400000000000001,0.86,0.865,0.85,0.845,0.8550000000000001
faithfulness_Score,0.62,0.8550000000000001,0.885,0.8699999999999999,0.6799999999999999,0.865,0.73,0.7975,0.95,0.9,0.9025000000000001,0.8,0.875,0.76,0.8550000000000001,0.8724999999999999,0.8925000000000001,0.8400000000000001,0.8875,0.86
conciseness_Score,0.5425,0.775,0.8425,0.86,0.7375,0.78,0.7,0.8125,0.7975,0.8550000000000001,0.8474999999999999,0.82,0.835,0.74,0.735,0.8225,0.8474999999999999,0.8025,0.805,0.82
correctness_Score,0.315,0.765,0.8225,0.7725,0.5599999999999999,0.76,0.655,0.6975,0.8300000000000001,0.8074999999999999,0.7375,0.705,0.765,0.7,0.735,0.73,0.8074999999999999,0.72,0.7575000000000001,0.795
structural_alignment_Score,0.3525,0.73,0.7849999999999999,0.79,0.78,0.8150000000000001,0.635,0.78,0.8125,0.8675,0.9025000000000001,0.8699999999999999,0.8800000000000001,0.8550000000000001,0.8400000000000001,0.9,0.8550000000000001,0.825,0.85,0.875
reasoning_quality_Score,0.3875,0.805,0.8,0.765,0.665,0.76,0.7050000000000001,0.77,0.86,0.825,0.7725,0.7474999999999999,0.8074999999999999,0.7275,0.77,0.7775000000000001,0.8125,0.7725000000000001,0.7875,0.7725
