,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Average Score,0.6725000000000001,0.774,0.764,0.6490000000000001,0.752125,0.7602500000000001,0.7111250000000001,0.71725,0.662875,0.4558750000000001,0.50675,0.728875,0.675625,0.38775,0.38775
Standard Deviation,0.24855635811198779,0.1988294693820231,0.2233115006348519,0.2156849554326866,0.2553625840684286,0.1596993474593662,0.2130055518797079,0.1916649694814255,0.20864739047644848,0.290368725434621,0.3014974687857438,0.2037356307493662,0.2509926018515497,0.1847008605684793,0.20056810760804827
Top3 Average Score,0.8916666666666668,0.9450000000000001,0.9525,0.8733333333333334,0.9491666666666669,0.9183333333333332,0.8766666666666667,0.8983333333333334,0.8474999999999999,0.8875000000000002,0.8700000000000001,0.9033333333333331,0.9158333333333337,0.6266666666666668,0.6183333333333333
meaning_accuracy_Score,0.705,0.805,0.79,0.6900000000000001,0.8578947368421053,0.8099999999999999,0.77,0.77,0.7100000000000001,0.41,0.485,0.8,0.75,0.34500000000000003,0.3
completeness_Score,0.7075,0.7625,0.745,0.6900000000000001,0.7789473684210527,0.7625,0.7325,0.655,0.6325000000000001,0.42000000000000004,0.47000000000000003,0.735,0.7075,0.41,0.42000000000000004
expression_style_Score,0.73,0.82,0.8,0.7,0.8052631578947369,0.77,0.7825,0.795,0.77,0.75,0.76,0.79,0.7474999999999999,0.58,0.61
faithfulness_Score,0.7075,0.805,0.8400000000000001,0.6599999999999999,0.8368421052631579,0.7725,0.7825,0.8375,0.7575000000000001,0.4225,0.495,0.8,0.75,0.325,0.28500000000000003
conciseness_Score,0.6675,0.8625,0.885,0.5900000000000001,0.8368421052631579,0.8,0.71,0.9400000000000001,0.865,0.6275000000000001,0.645,0.875,0.6950000000000001,0.385,0.35
correctness_Score,0.6575,0.7424999999999999,0.7224999999999999,0.645,0.7868421052631579,0.7849999999999999,0.665,0.7175,0.675,0.34500000000000003,0.42000000000000004,0.75,0.605,0.41,0.43499999999999994
structural_alignment_Score,0.65,0.805,0.8,0.62,0.7236842105263158,0.6799999999999999,0.7224999999999999,0.7775000000000001,0.7325,0.5900000000000001,0.615,0.735,0.6475,0.41,0.465
reasoning_quality_Score,0.665,0.76,0.73,0.6599999999999999,0.7999999999999999,0.7725,0.7,0.5549999999999999,0.48,0.4875,0.53,0.58,0.72,0.385,0.34500000000000003
