,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Average Score,0.5867500000000001,0.51925,0.602125,0.625125,0.63825,0.6118750000000001,0.5930000000000001,0.595,0.70975,0.59575,0.6195,0.715125,0.6407499999999999,0.5387500000000001,0.58775
Standard Deviation,0.2751328626414212,0.2505902243231284,0.2512092792348328,0.238278467951835,0.21833264697896668,0.2573714229321221,0.2701481075262235,0.22990844859822382,0.1654378162713458,0.2175719784105335,0.2411425653884134,0.21135912783944918,0.197352709900987,0.2508662623370216,0.2422236624105476
Top3 Average Score,0.9066666666666668,0.8666666666666668,0.8841666666666667,0.8766666666666667,0.8783333333333335,0.8941666666666667,0.8783333333333335,0.8800000000000001,0.8566666666666668,0.8566666666666668,0.8800000000000001,0.9099999999999999,0.8983333333333334,0.8783333333333333,0.8766666666666667
meaning_accuracy_Score,0.7105263157894737,0.5789473684210527,0.6842105263157895,0.6799999999999999,0.675,0.6631578947368421,0.6684210526315789,0.615,0.795,0.655,0.645,0.745,0.705,0.54,0.645
completeness_Score,0.5342105263157895,0.6263157894736843,0.6052631578947368,0.63,0.6675,0.718421052631579,0.6894736842105263,0.7125,0.7,0.5650000000000001,0.67,0.6849999999999999,0.675,0.5700000000000001,0.58
expression_style_Score,0.6631578947368421,0.7315789473684211,0.7078947368421052,0.7025,0.745,0.7763157894736842,0.7473684210526316,0.77,0.765,0.71,0.725,0.755,0.79,0.725,0.625
faithfulness_Score,0.7447368421052631,0.6631578947368421,0.7447368421052631,0.765,0.79,0.7789473684210527,0.7526315789473684,0.725,0.835,0.755,0.745,0.8300000000000001,0.745,0.665,0.705
conciseness_Score,0.7789473684210527,0.6473684210526316,0.7000000000000001,0.795,0.6950000000000001,0.6578947368421053,0.6473684210526316,0.62,0.765,0.8,0.6900000000000001,0.82,0.6599999999999999,0.705,0.835
correctness_Score,0.7026315789473684,0.3973684210526316,0.6263157894736843,0.5525,0.4925,0.5105263157894736,0.5210526315789474,0.4375,0.6950000000000001,0.52,0.54,0.6825,0.545,0.3775,0.505
structural_alignment_Score,0.5421052631578948,0.6526315789473685,0.6578947368421053,0.675,0.75,0.7657894736842106,0.6526315789473683,0.725,0.6799999999999999,0.675,0.6950000000000001,0.755,0.75,0.71,0.6799999999999999
reasoning_quality_Score,0.46315789473684216,0.4947368421052632,0.5578947368421052,0.5599999999999999,0.6275000000000001,0.618421052631579,0.6105263157894737,0.5700000000000001,0.665,0.505,0.575,0.6675,0.6,0.49750000000000005,0.525
