,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Average Score,0.681,0.634,0.6255,0.49050000000000005,0.69475,0.62325,0.514,0.78125,0.652,0.57375,0.58475,0.70375,0.41200000000000003,0.524,0.5605
Standard Deviation,0.2136561428286607,0.364784002419312,0.3412164770501658,0.356263134568582,0.3316326241014611,0.3546988158987847,0.3449050212510837,0.2748438551920746,0.3525635441045754,0.3337895452621543,0.3372546866749379,0.3303701074472944,0.1721489563078868,0.3003971055996238,0.3393565893523244
Top3 Average Score,0.8600000000000001,1.0,0.9766666666666666,0.973333333333333,0.9816666666666667,0.97,0.9883333333333331,0.9766666666666666,1.0,0.9633333333333333,0.9816666666666667,0.9949999999999999,0.6633333333333334,0.96,0.9833333333333334
meaning_accuracy_Score,0.775,0.51,0.585,0.485,0.665,0.55,0.35,0.74,0.5,0.49000000000000005,0.595,0.6599999999999999,0.63,0.585,0.51
completeness_Score,0.6799999999999999,0.8699999999999999,0.8400000000000001,0.6599999999999999,0.8800000000000001,0.845,0.8150000000000001,0.95,0.975,0.8,0.78,0.905,0.43999999999999995,0.6,0.8099999999999999
expression_style_Score,0.67,1.0,0.8400000000000001,0.63,0.89,1.0,1.0,0.93,0.9550000000000001,0.93,0.67,0.9,0.205,0.545,0.76
faithfulness_Score,0.8400000000000001,0.745,0.79,0.67,0.825,0.79,0.76,0.9199999999999999,0.835,0.82,0.665,0.8550000000000001,0.48,0.63,0.755
conciseness_Score,0.52,1.0,0.8400000000000001,0.605,0.89,1.0,1.0,0.915,0.9400000000000001,0.9400000000000001,0.655,0.9,0.135,0.52,0.765
correctness_Score,0.735,0.5,0.5650000000000001,0.385,0.665,0.55,0.35,0.73,0.5,0.49000000000000005,0.5700000000000001,0.62,0.495,0.6,0.47000000000000003
structural_alignment_Score,0.45999999999999996,1.0,0.835,0.61,0.885,1.0,1.0,0.9199999999999999,0.95,0.9400000000000001,0.645,0.9099999999999999,0.125,0.505,0.745
reasoning_quality_Score,0.6799999999999999,0.485,0.5650000000000001,0.4600000000000001,0.5599999999999999,0.44000000000000006,0.32999999999999996,0.7150000000000001,0.595,0.39499999999999996,0.545,0.64,0.53,0.47000000000000003,0.5
