,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Average Score,0.4532,0.6707500000000001,0.64375,0.65825,0.647,0.6617500000000001,0.6455,0.668,0.64875,0.63425,0.67875,0.63075,0.59375,0.6057500000000001,0.63
Standard Deviation,0.2096507371295111,0.1274027492886859,0.1080920051573998,0.098345189591507,0.0994511252615548,0.0693821416428418,0.0953235487556376,0.0791966240641474,0.1125058478012306,0.11655442595854651,0.11770698454436039,0.1276948974787374,0.115004290537811,0.1429508104577456,0.1054564015675622
Top3 Average Score,0.711,0.8610000000000001,0.7783333333333333,0.7716666666666666,0.7600000000000001,0.7766666666666667,0.7766666666666667,0.8016666666666667,0.8083333333333332,0.8016666666666667,0.8450000000000001,0.79,0.7533333333333333,0.8350000000000002,0.7716666666666666
meaning_accuracy_Score,0.41500000000000004,0.6,0.605,0.6,0.63,0.6599999999999999,0.62,0.615,0.63,0.605,0.65,0.5900000000000001,0.62,0.61,0.6199999999999999
completeness_Score,0.39,0.58,0.525,0.575,0.575,0.5900000000000001,0.5700000000000001,0.5700000000000001,0.5700000000000001,0.5399999999999999,0.54,0.525,0.5549999999999999,0.525,0.515
expression_style_Score,0.55,0.77,0.735,0.755,0.6799999999999999,0.6649999999999999,0.69,0.69,0.63,0.6599999999999999,0.74,0.6399999999999999,0.545,0.58,0.64
faithfulness_Score,0.58,0.74,0.745,0.745,0.77,0.745,0.71,0.76,0.765,0.76,0.71,0.73,0.75,0.74,0.7
conciseness_Score,0.52,0.73,0.675,0.725,0.585,0.61,0.645,0.72,0.595,0.61,0.725,0.6,0.495,0.64,0.6900000000000001
correctness_Score,0.445,0.655,0.625,0.6399999999999999,0.6599999999999999,0.7,0.635,0.675,0.6900000000000001,0.65,0.665,0.6799999999999999,0.6399999999999999,0.645,0.6599999999999999
structural_alignment_Score,0.4,0.86,0.85,0.8400000000000001,0.805,0.825,0.805,0.82,0.79,0.72,0.8550000000000001,0.765,0.585,0.585,0.72
reasoning_quality_Score,0.41,0.585,0.54,0.5599999999999999,0.565,0.5900000000000001,0.565,0.5599999999999999,0.575,0.5650000000000001,0.5900000000000001,0.5700000000000001,0.5650000000000001,0.53,0.565
